Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Val AUC,Val PR AUC,Natural Precision,Natural Recall,Natural F1,Attacked Precision,Attacked Recall,Attacked F1
14,0.03811653210781515,0.04446008914965205,0.98725,0.981,0.998871765047979,0.9998776299961925,0.8392857142857143,0.9894736842105263,0.9082125603864734,0.9988738738738738,0.980110497237569,0.9894032348020078
15,0.029468289880082012,0.09536462868891249,0.990625,0.954,0.9991160220994475,0.9999056469643508,1.0,0.5157894736842106,0.6805555555555556,0.9516298633017876,1.0,0.9752155172413793
16,0.026104615718126296,0.033059060227969894,0.991375,0.988,0.9992788601337598,0.9999231200885956,1.0,0.8736842105263158,0.9325842696629214,0.9869138495092693,1.0,0.9934138309549945
17,0.027936705630738287,0.0410992365796119,0.991375,0.982,0.9992090724047689,0.9999158527839103,0.8532110091743119,0.9789473684210527,0.911764705882353,0.9977553310886644,0.9823204419889503,0.989977728285078
18,0.02568716824008152,0.04034359816887445,0.991625,0.983,0.9993486478627508,0.9999309984481014,0.8611111111111112,0.9789473684210527,0.9162561576354681,0.9977578475336323,0.9834254143646409,0.9905397885364496
19,0.024117562938015907,0.05636472094738565,0.992875,0.972,0.9992672288455947,0.9999220273199456,0.7768595041322314,0.9894736842105263,0.8703703703703703,0.9988623435722411,0.9701657458563536,0.984304932735426
20,0.025379555873572827,0.021840779456852033,0.99225,0.995,0.9994882233207327,0.9999459006558307,0.9787234042553191,0.968421052631579,0.9735449735449735,0.9966887417218543,0.9977900552486187,0.9972390944229707
21,0.0227904862430878,0.06043937181311776,0.99375,0.97,0.9993719104390811,0.9999334195564694,0.7642276422764228,0.9894736842105263,0.8623853211009175,0.9988597491448119,0.9679558011049724,0.9831649831649831
22,0.026462598230689763,0.03650042845401913,0.991375,0.985,0.9994184355917418,0.9999384864463238,0.8773584905660378,0.9789473684210527,0.9253731343283582,0.9977628635346756,0.9856353591160221,0.9916620344635908
23,0.02349328033719212,0.024447016383419395,0.9925,0.99,0.9995347484733934,0.9999506543118644,0.9207920792079208,0.9789473684210527,0.9489795918367347,0.9977753058954394,0.9911602209944751,0.9944567627494456
24,0.022859157580882312,0.06575521832928644,0.993375,0.97,0.9990927595231172,0.9999040293082647,0.76,1.0,0.8636363636363636,1.0,0.9668508287292817,0.9831460674157304
25,0.02226373292412609,0.0240309287769378,0.992875,0.99,0.9994533294562372,0.9999420880430034,0.9207920792079208,0.9789473684210527,0.9489795918367347,0.9977753058954394,0.9911602209944751,0.9944567627494456
26,0.020457629323937,0.021541116115258774,0.994125,0.995,0.9994649607444024,0.9999433254499056,0.96875,0.9789473684210527,0.9738219895287958,0.9977876106194691,0.9966850828729282,0.9972360420121614
27,0.024435251126531513,0.021461403765897558,0.992625,0.993,0.9994765920325676,0.9999445368624718,0.9489795918367347,0.9789473684210527,0.9637305699481866,0.9977827050997783,0.994475138121547,0.9961261759822911
28,0.021288542170543222,0.020123962593970646,0.9935,0.995,0.9995463797615586,0.9999518737613808,0.9787234042553191,0.968421052631579,0.9735449735449735,0.9966887417218543,0.9977900552486187,0.9972390944229707
29,0.024112324082059787,0.020672464405834035,0.993125,0.994,0.9995347484733934,0.9999506895222615,0.9587628865979382,0.9789473684210527,0.96875,0.9977851605758582,0.9955801104972376,0.9966814159292036
30,0.021811164230573922,0.02205987984325475,0.993375,0.993,0.9994649607444024,0.9999433074956663,0.9489795918367347,0.9789473684210527,0.9637305699481866,0.9977827050997783,0.994475138121547,0.9961261759822911
